month	low_income	medium_income	high_income
1	42.284598838559766	40.78217877781885	43.783635827931654
2	40.23574998840815	38.45070909424036	40.96724582478764
3	41.2585694584905	38.446743691091314	41.044782988639696
4	40.50985407843836	38.01557187252416	39.94510096575943
5	41.507257850102945	39.95056843634604	43.200359733101294
6	40.19733557945254	37.77624784535834	40.290274498229
7	42.291960413398535	39.68211156595595	41.72034969144881
8	42.597538213627594	40.87815904935989	43.34028871391065
9	40.20063420943202	38.84388092612997	41.366448488406256
10	42.33806508031472	41.38360737540311	44.13556104651163
11	42.95066944444405	41.539665539501826	44.768771723122235
12	38.365119280034165	37.45870208174659	40.61992451690822
