month	low_income	medium_income	high_income
1	0.0846585859995908	0.059809559814368564	0.05469946066778041
2	0.08338760627912516	0.06034885386293743	0.05489025163534987
3	0.08144113465259487	0.057766614138299845	0.052106725493997454
4	0.08107822470167696	0.057210470744958164	0.05141172490582974
5	0.07992450730306372	0.056455546083980845	0.05093219063252369
6	0.08266944138191194	0.05815405290288505	0.05164160205533148
7	0.08418203665264706	0.05921079427914542	0.05312017954867114
8	0.08405660103133744	0.059539079297602805	0.05300859002813522
9	0.08581968540831626	0.06296370874678474	0.056103193872506237
10	0.08393856643791572	0.06143228734433102	0.05470435591722282
11	0.07964383436509086	0.05605612158042952	0.0498084389611464
12	0.06952595260673446	0.04886052877112721	0.042413361540614786
